asset,model,threshold,f1,precision,recall,roc_auc,hit_rate,crashes_detected,crashes_in_range,avg_lead_days
SP500,Z-Score,50.0,0.0,0.0,0.0,0.6165,0.0,0,24,0.0
SP500,Isolation Forest,50.0,0.0,0.0,0.0,0.7841,0.0,0,24,0.0
SP500,LSTM Autoencoder,50.0,0.0,0.0,0.0,0.7298,0.0,0,24,0.0
SP500,Prophet Residual,50.0,0.0,0.0,0.0,0.6311,0.0,0,24,0.0
SP500,XGBoost Classifier,60.0,0.6394,0.5921,0.695,0.9173,0.8333,20,24,0.0
SP500,HMM Regime,60.0,0.2955,0.2068,0.5174,0.8035,0.7083,17,24,0.0
SP500,TCN Autoencoder,50.0,0.0537,0.1184,0.0347,0.6802,0.0833,2,24,0.0
SP500,VAE Autoencoder,50.0,0.1667,0.1213,0.2664,0.6766,0.3333,8,24,0.0
SP500,Anomaly Transformer,60.0,0.2196,0.1403,0.5058,0.6651,0.5833,14,24,0.0
SP500,Baseline Ensemble,50.0,0.2588,0.2207,0.3127,0.7639,0.5833,14,24,0.2
SP500,Advanced Ensemble,50.0,0.4125,0.3465,0.5097,0.9216,0.7917,19,24,0.0
VIX,Z-Score,50.0,0.0,0.0,0.0,0.6121,0.0,0,24,0.0
VIX,Isolation Forest,50.0,0.0,0.0,0.0,0.7758,0.0,0,24,0.0
VIX,LSTM Autoencoder,50.0,0.0,0.0,0.0,0.7109,0.0,0,24,0.0
VIX,Prophet Residual,50.0,0.0,0.0,0.0,0.6677,0.0,0,24,0.0
VIX,XGBoost Classifier,60.0,0.6396,0.6135,0.668,0.926,0.8333,20,24,0.0
VIX,HMM Regime,60.0,0.232,0.1519,0.4903,0.7518,0.6667,16,24,0.5
VIX,TCN Autoencoder,50.0,0.0833,0.1818,0.0541,0.6849,0.1667,4,24,0.0
VIX,VAE Autoencoder,50.0,0.2024,0.1409,0.3591,0.689,0.6667,16,24,0.9
VIX,Anomaly Transformer,60.0,0.1905,0.1702,0.2162,0.6839,0.3333,8,24,0.0
VIX,Baseline Ensemble,50.0,0.2359,0.3511,0.1776,0.7675,0.5,12,24,0.0
VIX,Advanced Ensemble,50.0,0.4861,0.5021,0.471,0.9008,0.7083,17,24,0.2
BTC,Z-Score,50.0,0.0,0.0,0.0,0.5272,0.0,0,19,0.0
BTC,Isolation Forest,50.0,0.0,0.0,0.0,0.5658,0.0,0,19,0.0
BTC,LSTM Autoencoder,50.0,0.0,0.0,0.0,0.5417,0.0,0,19,0.0
BTC,Prophet Residual,50.0,0.0,0.0,0.0,0.5916,0.0,0,19,0.0
BTC,XGBoost Classifier,60.0,0.0923,0.4412,0.0515,0.6654,0.0526,1,19,0.0
BTC,HMM Regime,60.0,0.2325,0.1613,0.4158,0.6672,0.5789,11,19,0.0
BTC,TCN Autoencoder,50.0,0.0818,0.0754,0.0893,0.5756,0.1579,3,19,1.3
BTC,VAE Autoencoder,50.0,0.1384,0.08,0.5155,0.5253,0.6316,12,19,0.0
BTC,Anomaly Transformer,60.0,0.1394,0.0821,0.4605,0.5617,0.5789,11,19,1.6
BTC,Baseline Ensemble,50.0,0.1293,0.0859,0.2612,0.5746,0.5263,10,19,0.4
BTC,Advanced Ensemble,50.0,0.1566,0.1624,0.1512,0.6185,0.2632,5,19,0.6
GOLD,Z-Score,50.0,0.0,0.0,0.0,0.5576,0.0,0,24,0.0
GOLD,Isolation Forest,50.0,0.0,0.0,0.0,0.5863,0.0,0,24,0.0
GOLD,LSTM Autoencoder,50.0,0.0,0.0,0.0,0.5516,0.0,0,24,0.0
GOLD,Prophet Residual,50.0,0.0,0.0,0.0,0.5764,0.0,0,24,0.0
GOLD,XGBoost Classifier,60.0,0.2713,0.7414,0.166,0.659,0.1667,4,24,0.0
GOLD,HMM Regime,50.0,0.1439,0.1028,0.2394,0.6396,0.5,12,24,0.7
GOLD,TCN Autoencoder,50.0,0.0825,0.124,0.0618,0.6776,0.25,6,24,0.0
