Asset,Model,RMSE,MAE,AIC
SP500,"ARIMA(1, 1, 1)",117.98193852964262,99.05873753746565,39850.47955171009
SP500,"SARIMA(1, 1, 1)x(1, 0, 1, 21)",123.1818873219795,103.93640080126242,39847.62752355315
VIX,"SARIMA(1, 1, 1)x(1, 0, 1, 21)",4.995992760849711,4.003869579608865,16309.154419503826
VIX,"ARIMA(1, 1, 1)",5.008930715893126,4.018639170666828,16309.84401925618
BTC,"SARIMA(1, 1, 1)x(1, 0, 1, 21)",2826.639002086202,2435.4782816770557,69874.57313300724
BTC,"ARIMA(1, 1, 1)",2884.2814052559747,2489.63636693342,69870.66774403682
GOLD,"ARIMA(1, 1, 1)",17.98025694808906,13.94855310465701,16302.392573673966
GOLD,"SARIMA(1, 1, 1)x(1, 0, 1, 21)",18.56816803831141,14.861829249379506,16301.931991314555
NASDAQ,"ARIMA(1, 1, 1)",22.725173999550734,21.214020473642986,21196.583684236823
NASDAQ,"SARIMA(1, 1, 1)x(1, 0, 1, 21)",23.173362174875837,21.650450980683843,21192.77795503306
TESLA,"SARIMA(1, 1, 1)x(1, 0, 1, 21)",21.505290371461314,18.997376062064106,25038.751181209795
TESLA,"ARIMA(1, 1, 1)",22.221202581391385,19.790549407698208,25037.506952284282
