Asset,Method,RMSE,MAE,MAPE,Rank
SP500,seasonal_naive,83.6883288754342,69.43194986979167,1.0136495797521001,1
SP500,naive,118.74846353179366,99.92880859375,1.4615786610217518,2
SP500,drift,143.03866167251763,122.65347102823998,1.7931773082817226,3
SP500,mean,3903.5787179648214,3903.0515467443793,56.73758743506513,4
VIX,mean,3.578883648826219,2.609540735233813,11.681402607508339,1
VIX,naive,4.988245914907067,3.9933330535888674,18.046892063107585,2
VIX,drift,5.010234475450686,4.013732800154713,18.142551056883857,3
VIX,seasonal_naive,5.9758888834198665,5.029333464304606,23.287461414262648,4
BTC,naive,2872.9508614078322,2478.0333333333333,3.702048256659687,1
BTC,drift,3069.5931499771905,2681.092064777445,4.0049654364860166,2
BTC,seasonal_naive,16936.256164530365,15525.602473958334,22.834255269362274,3
BTC,mean,40293.014877488575,40253.491546368045,59.28256996810113,4
GOLD,naive,17.997032502062883,13.964000447591145,3.055655520133478,1
GOLD,drift,18.545728946313872,14.760805988517882,3.2289108467679477,2
GOLD,seasonal_naive,53.3246553269292,47.91166483561198,10.198924373393545,3
GOLD,mean,308.28292696370795,307.90106896700286,65.93864347174723,4
NASDAQ,seasonal_naive,14.700006087485479,13.266335042317708,2.18427188647404,1
NASDAQ,naive,22.94291295751173,21.428338623046876,3.532975261671415,2
NASDAQ,drift,25.340335486135352,23.708300554651277,3.9084609877490712,3
NASDAQ,mean,405.96557445900567,405.87546394688616,66.54782630302981,4
TESLA,naive,22.210710582220155,19.779662068684896,4.874191926693201,1
TESLA,drift,24.049068592097626,21.485373522571205,5.29336328447725,2
TESLA,seasonal_naive,36.39416023152123,33.15667012532552,8.11968622332697,3
TESLA,mean,309.9127083566881,309.74559026196255,75.31995347756816,4
